"","TimeBodyAccelerationMagnitudeMean","TimeBodyAccelerationMagnitudeStandardDeviation","TimeGravityAccelerationMagnitudeMean","TimeGravityAccelerationMagnitudeStandardDeviation","TimeBodyAccelerationJerkMagnitudeMean","TimeBodyAccelerationJerkMagnitudeStandardDeviation","TimeBodyGyroMagnitudeMean","TimeBodyGyroMagnitudeStandardDeviation","TimeBodyGyroJerkMagnitudeMean","TimeBodyGyroJerkMagnitudeStandardDeviation","FrequencyBodyAccelerationMagnitudeMean","FrequencyBodyAccelerationMagnitudeStandardDeviation","FrequencyBodyBodyAccelerationJerkMagnitudeMean","FrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation","FrequencyBodyBodyGyroMagnitudeMean","FrequencyBodyBodyGyroMagnitudeStandardDeviation","FrequencyBodyBodyGyroJerkMagnitudeMean","FrequencyBodyBodyGyroJerkMagnitudeStandardDeviation","Activity","Subject"
"1",-0.95943388,-0.9505515,-0.95943388,-0.9505515,-0.99330586,-0.99433641,-0.96895908,-0.96433518,-0.99424782,-0.99136761,-0.95215466,-0.95613397,-0.99372565,-0.99375495,-0.98013485,-0.96130944,-0.99199044,-0.99069746,"STANDING",1
"2",-0.97928915,-0.97605707,-0.97928915,-0.97605707,-0.99125349,-0.99169441,-0.98068314,-0.98375419,-0.9951232,-0.99610164,-0.98085662,-0.97586576,-0.99033549,-0.99196029,-0.98829555,-0.98332192,-0.99585386,-0.99639947,"STANDING",1
"3",-0.98370313,-0.98801962,-0.98370313,-0.98801962,-0.98853127,-0.9903969,-0.97631707,-0.98605146,-0.99340322,-0.99509104,-0.98779477,-0.98901548,-0.98928007,-0.99086668,-0.98925477,-0.98602772,-0.9950305,-0.99512739,"STANDING",1
"4",-0.98654176,-0.98642135,-0.98654176,-0.98642135,-0.99307804,-0.9933808,-0.98205988,-0.98735112,-0.99550216,-0.9952666,-0.98751866,-0.98674196,-0.99276892,-0.99169983,-0.9894128,-0.98783575,-0.99522071,-0.99523693,"STANDING",1
"5",-0.99282715,-0.99127536,-0.99282715,-0.99127536,-0.99348,-0.99585371,-0.98520373,-0.98906257,-0.99580756,-0.99525804,-0.99359085,-0.99006346,-0.99552281,-0.99438901,-0.99143303,-0.98905935,-0.99509278,-0.99546483,"STANDING",1
"6",-0.99429499,-0.99524897,-0.99429499,-0.99524897,-0.9930177,-0.99542431,-0.9858944,-0.98644027,-0.99527476,-0.99520498,-0.99483599,-0.9952833,-0.99473292,-0.99515619,-0.99050002,-0.98586094,-0.99514331,-0.9952387,"STANDING",1
"7",-0.9874657,-0.98274603,-0.9874657,-0.98274603,-0.9913143,-0.98944783,-0.98550069,-0.98462525,-0.99371877,-0.9952695,-0.98213471,-0.98477295,-0.9878858,-0.99054611,-0.9882692,-0.98456854,-0.99564148,-0.99463909,"STANDING",1
"8",-0.97745766,-0.97599674,-0.97745766,-0.97599674,-0.99085085,-0.99038832,-0.98450563,-0.98683834,-0.99429068,-0.9952107,-0.98218413,-0.9751195,-0.98985144,-0.98979026,-0.98943061,-0.98706484,-0.99562912,-0.99450684,"STANDING",1
"9",-0.98363087,-0.97751373,-0.98363087,-0.97751373,-0.99332542,-0.99288747,-0.98936978,-0.99091446,-0.99584954,-0.9955883,-0.9831308,-0.9766829,-0.99207263,-0.99289011,-0.99162928,-0.99175866,-0.99526037,-0.99600721,"STANDING",1
"10",-0.98677197,-0.98670243,-0.98677197,-0.98670243,-0.98538815,-0.98364308,-0.98452436,-0.98026379,-0.98979927,-0.9907352,-0.98499403,-0.98902313,-0.98231683,-0.98405698,-0.98478793,-0.98038779,-0.99098121,-0.99059941,"STANDING",1
"11",-0.98804033,-0.98590171,-0.98804033,-0.98590171,-0.98441139,-0.98602515,-0.9852507,-0.98024776,-0.99126117,-0.99034063,-0.98569656,-0.98718871,-0.98476304,-0.98661714,-0.98345836,-0.98117839,-0.99131428,-0.9892975,"STANDING",1
"12",-0.99477563,-0.99611776,-0.99477563,-0.99611776,-0.99279492,-0.99527144,-0.99428671,-0.99563374,-0.99776102,-0.99781536,-0.9951378,-0.99671395,-0.99472936,-0.99480169,-0.99650333,-0.99552256,-0.99765225,-0.99787507,"STANDING",1
"13",-0.99532501,-0.99656707,-0.99532501,-0.99656707,-0.99486033,-0.9971272,-0.99630809,-0.99738797,-0.99860153,-0.99915139,-0.99595367,-0.99678792,-0.99681887,-0.99631669,-0.99790693,-0.99725026,-0.99904671,-0.99905917,"STANDING",1
